act_n,dist_rank,genre_rank,direct_rank,네이버_기대지수,star_buzz,movie_buzz_naver,google_trend,Target
127,3,13,67,202.0,182,5,403.0,0
102,1,13,16,10378.0,1622,16,577.0,1
60,8,13,67,308.0,295,3,290.0,0
63,4,13,67,466.0,557,13,0.0,1
46,5,7,67,383.0,1119,39,800.0,1
151,8,2,30,279.0,716,4,0.0,0
213,1,3,16,2185.0,1925,39,924.0,0
89,2,13,67,423.0,841,53,2308.0,1
71,3,9,67,7106.0,889,7,827.0,1
75,4,3,52,2752.0,996,44,265.0,1
161,2,13,32,6378.0,2610,100,0.0,0
113,1,3,49,1079.0,1377,14,478.0,1
151,5,8,67,1050.0,1200,14,901.0,0
54,9,15,67,586.0,38,0,395.0,0
79,3,9,67,165.0,300,10,1697.0,1
93,8,8,67,7921.0,1713,8,0.0,1
38,8,9,67,250.0,150,2,0.0,0
100,1,3,67,6730.0,1357,35,1186.0,1
57,3,10,67,366.0,259,1,576.0,1
153,8,3,67,205.0,530,22,733.0,0
60,6,5,67,262.0,654,23,534.0,0
47,6,10,67,3832.0,808,14,1857.0,0
33,6,7,67,126.0,466,7,392.0,1
151,7,13,67,3010.0,1047,6,726.0,0
90,5,13,40,1025.0,1172,38,1029.0,0
15,8,13,98,68.0,94,0,489.0,0
170,1,3,67,2278.0,1837,28,2140.0,1
88,6,13,67,1090.0,221,8,175.0,0
5,9,13,67,88.0,174,5,100.0,1
57,3,10,57,0.0,1251,131,500.0,1
41,8,7,67,0.0,547,83,854.0,1
74,4,8,67,0.0,679,62,0.0,1
63,3,5,6,0.0,2558,176,741.0,1
59,3,8,67,0.0,700,46,0.0,0
10,8,15,67,0.0,2,4,200.0,0
16,3,6,67,0.0,46,9,369.0,0
87,8,5,67,0.0,1423,429,705.0,1
18,8,8,67,0.0,397,61,524.0,1
155,8,13,64,0.0,272,86,505.0,1
9,8,13,67,0.0,53,2,967.0,0
22,4,11,67,0.0,630,33,0.0,1
28,2,8,67,0.0,464,62,367.0,1
50,2,5,67,0.0,770,42,267.0,0
69,8,9,67,0.0,991,72,486.0,1
44,3,3,67,0.0,752,142,292.0,1
4,8,13,67,0.0,2,4,0.0,0
252,1,8,4,0.0,1260,256,570.0,0
121,4,13,67,0.0,247,52,1007.0,0
77,1,5,67,0.0,978,63,752.0,1
66,1,8,71,0.0,806,80,628.0,0
51,7,13,39,0.0,440,75,785.0,1
108,2,8,74,0.0,808,76,448.0,1
74,2,8,30,0.0,1380,132,638.0,1
81,1,5,42,0.0,821,184,509.0,1
