네이버_기대지수,star_buzz,movie_buzz_naver,Target,act_n,dist_rank,genre_rank,direct_rank
606.0,137,31,0,33,3,13,67
27413.0,2084,193,1,59,2,8,13
430.0,161,10,0,3,8,10,92
20846.0,2733,225,1,115,1,5,1
21361.0,1860,137,1,338,1,5,44
1766.0,411,31,0,32,5,14,95
2529.0,528,34,0,80,6,8,67
0.0,659,139,1,102,8,13,58
194.0,210,46,0,132,6,13,93
75.0,2,0,0,10,8,8,67
15600.0,1637,165,1,133,3,10,67
5302.0,628,45,1,29,3,7,67
8651.0,1572,55,1,29,3,15,67
2953.0,1158,174,0,86,4,13,67
50.0,19,4,0,6,8,9,67
0.0,339,0,0,56,3,10,86
111.0,91,15,0,2,8,13,67
633.0,292,34,1,91,8,8,67
236.0,124,13,1,6,9,13,67
202.0,20,0,0,46,8,8,67
21671.0,2589,131,1,58,3,7,67
1932.0,772,131,1,103,3,3,73
13693.0,1987,219,1,73,3,13,5
10731.0,1196,124,0,70,2,13,72
4941.0,1413,379,1,148,4,1,5
247.0,147,25,1,32,7,8,100
13877.0,1830,61,1,295,3,13,67
