screenCnt,audiAcc,act_n,dist_rank,genre_rank,등급_12세관람가,등급_12세이상관람가,등급_15세이상관람가,등급_전체관람가,등급_청소년관람불가,cont_rank
280,16505,1.6094379124341003,32,8,0,0,0,1,0,16
69,7506,1.791759469228055,42,11,0,0,0,1,0,6
344,38262,1.791759469228055,32,8,0,0,0,1,0,5
20,71,1.9459101490553132,60,4,0,0,0,0,1,2
831,1002858,1.791759469228055,9,4,0,1,0,0,0,2
1,84,2.5649493574615367,71,7,0,0,1,0,0,1
601,527331,2.1972245773362196,4,4,0,1,0,0,0,2
1,20,3.091042453358316,71,5,0,0,1,0,0,1
80,21094,2.0794415416798357,20,11,0,0,1,0,0,2
278,264766,1.791759469228055,60,4,0,0,1,0,0,2
1,2,1.6094379124341003,89,4,0,0,1,0,0,2
1,1,1.791759469228055,96,15,0,0,1,0,0,5
228,11517,1.791759469228055,36,15,0,0,0,0,1,10
54,29992,2.0794415416798357,27,11,0,0,1,0,0,5
28,45841,1.9459101490553132,70,18,0,0,0,1,0,6
268,19508,2.302585092994046,33,8,0,0,0,1,0,15
47,1966,2.1972245773362196,71,5,0,1,0,0,0,16
11,3259,1.3862943611198906,74,19,0,0,1,0,0,13
128,29283,2.1972245773362196,27,13,0,1,0,0,0,2
816,2949944,1.791759469228055,5,11,0,1,0,0,0,2
1,1,1.791759469228055,94,4,0,1,0,0,0,13
582,170878,1.9459101490553132,3,6,0,0,0,0,1,2
65,5916,2.1972245773362196,71,8,0,0,0,1,0,1
17,540,1.9459101490553132,78,3,0,0,1,0,0,21
715,1072006,2.1972245773362196,5,8,0,0,0,1,0,2
1,2,1.0986122886681098,89,4,0,0,1,0,0,2
16,5463,4.23410650459726,19,11,0,0,0,0,1,1
5,139,1.0986122886681098,67,15,0,1,0,0,0,18
172,41041,3.2188758248682006,71,8,0,0,0,1,0,1
6,33,0.6931471805599453,67,4,0,0,1,0,0,20
338,34795,2.302585092994046,6,8,0,0,0,1,0,6
17,1263,3.5553480614894135,58,11,0,0,0,1,0,1
490,57331,1.791759469228055,12,13,0,1,0,0,0,2
57,19846,1.791759469228055,65,15,0,0,1,0,0,6
97,7915,1.791759469228055,48,4,0,0,1,0,0,2
1,3,1.6094379124341003,93,4,0,0,1,0,0,2
5,77,1.791759469228055,78,4,0,0,1,0,0,16
354,25278,2.3978952727983707,39,2,0,0,0,1,0,18
1,1,0.6931471805599453,96,10,0,0,0,0,1,10
5,16,1.791759469228055,71,3,0,0,1,0,0,20
22,2016,0.6931471805599453,50,2,0,0,0,1,0,4
5,49,1.3862943611198906,90,4,0,0,1,0,0,16
305,34466,1.6094379124341003,71,8,0,0,0,1,0,11
429,94179,2.1972245773362196,28,8,0,0,0,1,0,13
113,26577,1.6094379124341003,39,8,0,1,0,0,0,6
