screenCnt,Target,act_n,dist_rank,genre_rank,등급_12세관람가,등급_12세이상관람가,등급_15세이상관람가,등급_전체관람가,등급_청소년관람불가,cont_rank
154,11,1.9459101490553132,40,8,0,0,0,1,0,16
55,11,1.9459101490553132,19,11,0,0,1,0,0,11
11,11,1.6094379124341003,72,19,0,1,0,0,0,2
1351,10,5.2832037287379885,6,1,0,0,1,0,0,1
5,11,1.0986122886681098,89,4,0,0,1,0,0,20
17,11,2.0794415416798357,57,11,0,0,0,1,0,16
59,11,1.9459101490553132,37,3,0,0,0,0,1,2
90,11,1.3862943611198906,42,8,0,0,0,1,0,5
1,11,1.9459101490553132,71,9,0,0,1,0,0,4
5,11,1.6094379124341003,91,4,0,0,1,0,0,13
5,11,1.9459101490553132,89,10,0,0,1,0,0,23
1,11,1.9459101490553132,89,10,0,0,1,0,0,2
55,11,2.0794415416798357,91,4,0,0,1,0,0,16
123,11,2.0794415416798357,37,15,0,0,0,0,1,17
25,11,1.791759469228055,8,18,0,0,0,1,0,1
1,11,1.6094379124341003,71,15,0,0,0,0,1,2
155,11,1.0986122886681098,26,13,0,1,0,0,0,9
47,11,1.0986122886681098,8,11,0,1,0,0,0,1
332,11,1.6094379124341003,13,8,0,1,0,0,0,6
41,11,1.9459101490553132,21,13,0,0,1,0,0,2
7,11,2.1972245773362196,78,10,0,0,1,0,0,5
769,11,2.0794415416798357,5,15,0,0,1,0,0,2
2,11,1.791759469228055,74,19,0,0,0,1,0,13
108,11,1.791759469228055,25,13,0,1,0,0,0,6
0,11,2.0794415416798357,81,11,0,0,0,0,1,6
20,11,1.9459101490553132,48,11,0,0,1,0,0,2
1,11,1.791759469228055,71,4,0,0,1,0,0,18
1,11,1.791759469228055,90,3,0,0,1,0,0,20
17,11,1.791759469228055,53,11,0,0,1,0,0,7
5,11,1.3862943611198906,91,13,0,0,0,0,1,6
463,11,2.3978952727983707,13,8,0,0,0,1,0,6
203,11,2.1972245773362196,34,4,0,0,1,0,0,2
1,11,1.6094379124341003,101,10,0,0,0,0,1,18
724,11,1.9459101490553132,9,8,0,0,0,1,0,2
758,11,2.772588722239781,6,8,0,0,0,1,0,1
542,11,1.791759469228055,8,8,0,1,0,0,0,6
5,11,1.6094379124341003,71,4,0,0,1,0,0,18
6,11,2.4849066497880004,71,18,0,0,0,1,0,17
1957,5,1.791759469228055,7,4,0,0,1,0,0,2
1,11,1.3862943611198906,51,6,0,1,0,0,0,11
36,11,2.70805020110221,66,11,0,1,0,0,0,1
5,11,1.791759469228055,52,11,0,0,1,0,0,11
37,11,2.0794415416798357,21,7,0,1,0,0,0,2
5,11,1.791759469228055,91,4,0,0,1,0,0,17
220,11,1.9459101490553132,9,4,0,0,1,0,0,2
1,11,1.791759469228055,67,4,0,0,0,0,1,6
121,11,2.4849066497880004,82,8,0,1,0,0,0,6
1775,6,1.791759469228055,2,4,0,1,0,0,0,2
465,11,1.791759469228055,21,4,0,0,1,0,0,2
18,11,1.6094379124341003,67,2,0,0,1,0,0,2
6,11,1.791759469228055,78,9,0,1,0,0,0,16
1,11,1.791759469228055,89,6,0,0,1,0,0,2
5,11,2.6390573296152584,16,5,0,1,0,0,0,1
1,11,1.9459101490553132,90,6,0,0,1,0,0,2
1,11,1.9459101490553132,77,3,0,0,0,0,1,22
527,11,1.6094379124341003,7,10,0,0,0,0,1,1
1151,11,2.1972245773362196,7,4,0,1,0,0,0,2
509,11,2.1972245773362196,5,15,0,0,1,0,0,2
1978,1,4.406719247264253,8,7,0,0,1,0,0,1
781,11,4.890349128221754,1,9,0,0,1,0,0,1
1,11,1.791759469228055,89,11,0,0,1,0,0,2
493,11,2.1972245773362196,13,8,0,0,0,1,0,6
293,11,5.0106352940962555,33,4,0,0,1,0,0,1
1,11,3.6888794541139363,71,7,0,1,0,0,0,1
324,11,2.1972245773362196,4,10,0,0,1,0,0,2
